"Flightid";"Routecode";"Origin";"Destination";"Flightdate";"Flightdurationmins";"Aircrafttype";"Seatsavailable";"Seatssold";"Revenue";"Operationalcost"
1;"COK-BLR";"COK";"BLR";"2023-06-01";226;"Airbus A320neo";186;107;1073424.0;659880.76
2;"LKO-BOM";"LKO";"BOM";"2022-08-12";173;"Boeing 737-800";189;174;1935924.0;1286597.47
3;"IXC-DEL";"IXC";"DEL";"2023-06-02";169;"Boeing 737 MAX 8";186;151;938767.0;790950.47
4;"BLR-HYD";"BLR";"HYD";"2025-06-10";77;"Boeing 737 MAX 8";186;128;1354752.0;899625.42
5;"BOM-DEL";"BOM";"DEL";"2023-12-18";130;"Boeing 787-8";256;149;1454836.0;1276501.34
6;"COK-BLR";"COK";"BLR";"2023-07-11";164;"Boeing 737-800";189;168;1854720.0;1440387.37
7;"JAI-DEL";"JAI";"DEL";"2025-01-24";196;"Boeing 737-800";189;188;1035692.0;803032.25
8;"DEL-BLR";"DEL";"BLR";"2025-12-08";238;"Airbus A320neo";186;125;364125.0;294000.01
9;"NAG-BOM";"NAG";"BOM";"2025-03-05";234;"Boeing 737 MAX 8";186;158;1494364.0;1105906.36
10;"JAI-DEL";"JAI";"DEL";"2025-06-18";89;"Airbus A320neo";186;182;1867502.0;1334006.88
11;"BOM-DEL";"BOM";"DEL";"2022-12-06";198;"Boeing 737 MAX 8";186;167;621574.0;527055.29
12;"IXB-CCU";"IXB";"CCU";"2026-11-21";55;"Airbus A321";220;123;1396419.0;1130305.04
13;"AMD-BOM";"AMD";"BOM";"2024-01-19";196;"Airbus A321";220;215;1895225.0;1508777.69
14;"IXC-DEL";"IXC";"DEL";"2025-05-13";223;"Airbus A320neo";186;122;456768.0;346980.97
15;"PNQ-HYD";"PNQ";"HYD";"2024-11-14";55;"ATR 72";78;47;203886.0;139383.4
16;"CCU-DEL";"CCU";"DEL";"2022-06-11";141;"Boeing 737-800";189;128;1371648.0;937145.3
17;"PNQ-HYD";"PNQ";"HYD";"2025-06-03";169;"Boeing 737 MAX 8";186;160;471040.0;351958.13
18;"GOI-DEL";"GOI";"DEL";"2022-03-27";63;"Airbus A320neo";186;174;1005024.0;813581.92
19;"AMD-BOM";"AMD";"BOM";"2024-08-16";233;"Boeing 737 MAX 8";186;146;1047550.0;620011.03
20;"TRV-MAA";"TRV";"MAA";"2026-02-19";110;"Boeing 737-800";189;161;1130220.0;686461.34
21;"CCU-DEL";"CCU";"DEL";"2023-04-27";107;"ATR 72";78;71;272001.0;175849.27
22;"BOM-DEL";"BOM";"DEL";"2022-10-25";104;"ATR 72";78;50;203600.0;176473.73
23;"TRV-MAA";"TRV";"MAA";"2026-07-19";101;"ATR 72";78;65;711945.0;588961.14
24;"IXB-CCU";"IXB";"CCU";"2023-02-09";86;"Boeing 737 MAX 8";186;183;779763.0;639657.74
25;"BOM-DEL";"BOM";"DEL";"2026-12-29";89;"Boeing 737-800";189;138;926670.0;668074.02
26;"NAG-BOM";"NAG";"BOM";"2026-09-15";106;"Boeing 737 MAX 8";186;179;1952353.0;1102105.0
27;"JAI-DEL";"JAI";"DEL";"2024-06-06";224;"Airbus A320neo";186;186;2073714.0;1866026.43
28;"GOI-DEL";"GOI";"DEL";"2022-05-10";183;"ATR 72";78;71;250985.0;177266.63
29;"MAA-BOM";"MAA";"BOM";"2023-09-09";104;"Boeing 737-800";189;173;1817884.0;1552667.61
30;"BOM-DEL";"BOM";"DEL";"2025-10-08";191;"Boeing 737 MAX 8";186;142;1648762.0;1301881.36
31;"TRV-MAA";"TRV";"MAA";"2022-11-29";171;"Boeing 787-8";256;197;1159345.0;1020116.57
32;"DEL-BLR";"DEL";"BLR";"2022-08-25";50;"ATR 72";78;62;159898.0;143130.18
33;"MAA-BOM";"MAA";"BOM";"2026-02-04";71;"Airbus A321";220;149;1774888.0;1537176.49
34;"COK-BLR";"COK";"BLR";"2026-07-21";93;"Airbus A320";180;163;1312476.0;1145525.43
35;"CCU-DEL";"CCU";"DEL";"2025-10-07";150;"Boeing 737-800";189;154;1528296.0;1015045.5
36;"BLR-HYD";"BLR";"HYD";"2025-08-14";163;"Airbus A320neo";186;158;1561356.0;967555.96
37;"COK-BLR";"COK";"BLR";"2022-03-15";188;"Boeing 737 MAX 8";186;148;1386464.0;1000979.56
38;"COK-BLR";"COK";"BLR";"2023-06-28";108;"Airbus A321";220;147;1199373.0;767268.48
39;"PNQ-HYD";"PNQ";"HYD";"2022-05-14";182;"Airbus A320neo";186;131;582164.0;451426.53
40;"NAG-BOM";"NAG";"BOM";"2026-05-03";96;"Airbus A320";180;156;860184.0;632173.05
41;"AMD-BOM";"AMD";"BOM";"2022-04-11";142;"Boeing 787-8";256;246;2467872.0;1829656.22
42;"LKO-BOM";"LKO";"BOM";"2025-01-12";230;"Airbus A320neo";186;124;1217556.0;710599.07
43;"COK-BLR";"COK";"BLR";"2024-02-16";159;"Airbus A320";180;129;887520.0;638880.07
44;"LKO-BOM";"LKO";"BOM";"2025-07-21";72;"Boeing 737-800";189;141;728265.0;548301.48
45;"MAA-BOM";"MAA";"BOM";"2026-08-29";78;"Airbus A321";220;174;1216782.0;1030561.82
46;"TRV-MAA";"TRV";"MAA";"2026-05-21";221;"Boeing 737-800";189;152;1521976.0;1064826.57
47;"BOM-DEL";"BOM";"DEL";"2026-03-15";97;"Boeing 787-8";256;175;586600.0;443927.67
48;"CCU-DEL";"CCU";"DEL";"2026-02-20";130;"Boeing 737 MAX 8";186;113;303631.0;219459.56
49;"IXB-CCU";"IXB";"CCU";"2023-10-31";230;"ATR 72";78;46;274436.0;210521.57
50;"IXC-DEL";"IXC";"DEL";"2023-11-28";109;"Airbus A320neo";186;130;416650.0;236598.77
51;"JAI-DEL";"JAI";"DEL";"2023-12-23";196;"Boeing 737 MAX 8";186;103;562380.0;430186.61
52;"DEL-BLR";"DEL";"BLR";"2024-10-09";240;"Airbus A321";220;209;1676180.0;1390856.72
53;"NAG-BOM";"NAG";"BOM";"2026-09-06";79;"Boeing 787-8";256;156;642096.0;545096.9
54;"IXC-DEL";"IXC";"DEL";"2024-11-04";195;"Boeing 737-800";189;171;1752921.0;1390865.2
55;"NAG-BOM";"NAG";"BOM";"2022-09-28";176;"Boeing 787-8";256;226;2203726.0;1408953.13
56;"COK-BLR";"COK";"BLR";"2025-06-16";128;"Airbus A320";180;152;948936.0;702142.61
57;"PNQ-HYD";"PNQ";"HYD";"2026-11-13";81;"Boeing 787-8";256;170;1754230.0;1421378.99
58;"DEL-BLR";"DEL";"BLR";"2023-01-15";158;"Boeing 787-8";256;180;2018340.0;1365944.2
59;"CCU-DEL";"CCU";"DEL";"2024-03-26";171;"Airbus A320neo";186;169;1352169.0;1090358.98
60;"PNQ-HYD";"PNQ";"HYD";"2026-08-11";137;"Boeing 787-8";256;165;412830.0;347312.61
61;"BLR-HYD";"BLR";"HYD";"2022-09-21";66;"Airbus A320";180;138;883062.0;674203.34
62;"PNQ-HYD";"PNQ";"HYD";"2023-07-01";78;"Boeing 737 MAX 8";186;135;1213785.0;897660.37
63;"LKO-BOM";"LKO";"BOM";"2025-08-13";81;"Airbus A320neo";186;145;1418680.0;1078458.85
64;"PNQ-HYD";"PNQ";"HYD";"2024-03-13";172;"Boeing 787-8";256;184;1204832.0;707494.38
65;"TRV-MAA";"TRV";"MAA";"2022-06-10";132;"Boeing 787-8";256;202;1779418.0;1374889.57
66;"CCU-DEL";"CCU";"DEL";"2025-03-09";162;"Boeing 737 MAX 8";186;171;1444266.0;813792.24
67;"PNQ-HYD";"PNQ";"HYD";"2022-08-14";206;"Airbus A321";220;140;464240.0;314860.15
68;"NAG-BOM";"NAG";"BOM";"2024-09-01";62;"Boeing 737-800";189;128;325888.0;287164.03
69;"BLR-HYD";"BLR";"HYD";"2022-11-29";165;"Airbus A320neo";186;102;1114758.0;690257.77
70;"TRV-MAA";"TRV";"MAA";"2026-05-18";126;"Boeing 737-800";189;111;767010.0;630608.39
71;"NAG-BOM";"NAG";"BOM";"2022-09-28";237;"Airbus A321";220;126;429156.0;343054.03
72;"IXC-DEL";"IXC";"DEL";"2025-10-09";115;"ATR 72";78;67;401464.0;323200.07
73;"TRV-MAA";"TRV";"MAA";"2025-08-26";118;"Boeing 737 MAX 8";186;130;727220.0;529924.57
74;"IXC-DEL";"IXC";"DEL";"2024-03-17";181;"Boeing 737 MAX 8";186;180;908280.0;664660.15
75;"COK-BLR";"COK";"BLR";"2026-04-27";92;"Boeing 737 MAX 8";186;151;1046581.0;871451.95
76;"MAA-BOM";"MAA";"BOM";"2025-04-16";199;"Airbus A320";180;171;608076.0;521691.04
77;"MAA-BOM";"MAA";"BOM";"2023-02-26";80;"Airbus A321";220;157;508052.0;361860.82
78;"COK-BLR";"COK";"BLR";"2025-11-11";151;"Boeing 737-800";189;176;1641728.0;1330916.68
79;"PNQ-HYD";"PNQ";"HYD";"2023-06-03";232;"Airbus A320";180;113;560367.0;444233.99
80;"BLR-HYD";"BLR";"HYD";"2022-09-22";88;"ATR 72";78;45;363330.0;287866.78
81;"JAI-DEL";"JAI";"DEL";"2023-01-11";88;"Airbus A320neo";186;172;996912.0;822508.27
82;"NAG-BOM";"NAG";"BOM";"2026-03-04";87;"Airbus A321";220;210;1286250.0;897039.54
83;"TRV-MAA";"TRV";"MAA";"2026-03-26";190;"Boeing 737 MAX 8";186;106;1213700.0;800072.15
84;"TRV-MAA";"TRV";"MAA";"2026-04-19";145;"Boeing 787-8";256;200;1754000.0;1017463.43
85;"GOI-DEL";"GOI";"DEL";"2022-05-02";143;"Boeing 737 MAX 8";186;104;502112.0;399162.54
86;"DEL-BLR";"DEL";"BLR";"2022-05-12";101;"Airbus A320";180;147;1002393.0;586057.31
87;"AMD-BOM";"AMD";"BOM";"2024-12-11";152;"Boeing 787-8";256;156;1861704.0;1444215.38
88;"BLR-HYD";"BLR";"HYD";"2023-02-10";111;"ATR 72";78;58;683356.0;386728.31
89;"IXB-CCU";"IXB";"CCU";"2024-07-16";132;"Airbus A320neo";186;102;302736.0;266063.44
90;"GOI-DEL";"GOI";"DEL";"2025-02-07";214;"Airbus A320neo";186;169;1320059.0;909092.06
91;"NAG-BOM";"NAG";"BOM";"2022-12-08";231;"Boeing 787-8";256;188;1157140.0;941001.38
92;"BOM-DEL";"BOM";"DEL";"2022-07-09";92;"Airbus A321";220;139;1429754.0;842147.44
93;"COK-BLR";"COK";"BLR";"2024-06-27";54;"Boeing 737 MAX 8";186;176;1357488.0;990122.44
94;"IXB-CCU";"IXB";"CCU";"2025-10-14";67;"Boeing 737-800";189;161;675717.0;593869.92
95;"GOI-DEL";"GOI";"DEL";"2026-06-24";163;"Boeing 787-8";256;154;808808.0;587778.58
96;"BOM-DEL";"BOM";"DEL";"2024-03-06";71;"ATR 72";78;49;242403.0;153455.22
97;"AMD-BOM";"AMD";"BOM";"2025-11-16";137;"Boeing 787-8";256;225;1723050.0;975224.38
98;"NAG-BOM";"NAG";"BOM";"2025-08-23";180;"Boeing 787-8";256;213;1581738.0;1327988.93
99;"GOI-DEL";"GOI";"DEL";"2025-01-22";61;"Boeing 737-800";189;153;1318860.0;910680.36
100;"IXC-DEL";"IXC";"DEL";"2023-01-25";229;"Boeing 737-800";189;170;980560.0;666850.65
101;"TRV-MAA";"TRV";"MAA";"2022-08-08";110;"Airbus A320neo";186;184;2067056.0;1323443.35
102;"LKO-BOM";"LKO";"BOM";"2024-01-29";181;"Boeing 787-8";256;204;1767660.0;1157440.05
103;"BOM-DEL";"BOM";"DEL";"2025-10-10";98;"Boeing 737-800";189;115;492775.0;277109.93
104;"IXC-DEL";"IXC";"DEL";"2023-07-10";82;"Airbus A320neo";186;176;972048.0;711592.5
105;"IXC-DEL";"IXC";"DEL";"2024-06-09";62;"Boeing 737 MAX 8";186;148;1420652.0;1098197.8
106;"GOI-DEL";"GOI";"DEL";"2026-10-02";173;"Boeing 737-800";189;182;1000818.0;726136.7
107;"COK-BLR";"COK";"BLR";"2026-12-27";90;"ATR 72";78;45;456435.0;388491.68
108;"DEL-BLR";"DEL";"BLR";"2026-02-27";200;"Airbus A320";180;122;545828.0;442015.05
109;"IXB-CCU";"IXB";"CCU";"2024-09-10";132;"Airbus A320neo";186;124;818276.0;698892.9
110;"CCU-DEL";"CCU";"DEL";"2022-02-04";203;"Airbus A320neo";186;153;1275408.0;983537.0
111;"BLR-HYD";"BLR";"HYD";"2022-08-31";214;"Airbus A321";220;202;783962.0;446901.42
112;"BOM-DEL";"BOM";"DEL";"2024-03-13";197;"Boeing 737 MAX 8";186;115;1201750.0;697917.01
113;"BOM-DEL";"BOM";"DEL";"2023-06-28";91;"Airbus A320";180;129;492522.0;340755.64
114;"IXC-DEL";"IXC";"DEL";"2025-11-03";50;"Airbus A321";220;203;1786400.0;1504491.86
115;"BLR-HYD";"BLR";"HYD";"2025-07-06";78;"Airbus A320";180;109;1019150.0;577540.59
116;"LKO-BOM";"LKO";"BOM";"2022-06-20";136;"Boeing 787-8";256;223;2362239.0;2037090.34
117;"LKO-BOM";"LKO";"BOM";"2024-06-15";129;"Boeing 787-8";256;219;685251.0;533507.36
118;"NAG-BOM";"NAG";"BOM";"2026-03-17";162;"Boeing 787-8";256;170;1494470.0;1175359.19
119;"IXC-DEL";"IXC";"DEL";"2025-07-09";96;"Airbus A320neo";186;167;1641443.0;1030853.97
120;"DEL-BLR";"DEL";"BLR";"2022-06-11";213;"Boeing 787-8";256;154;545160.0;307296.97
121;"TRV-MAA";"TRV";"MAA";"2022-11-13";64;"ATR 72";78;67;465449.0;282296.66
122;"COK-BLR";"COK";"BLR";"2022-05-14";154;"Airbus A321";220;123;539724.0;465775.3
123;"PNQ-HYD";"PNQ";"HYD";"2023-07-18";99;"ATR 72";78;70;567420.0;465039.58
124;"AMD-BOM";"AMD";"BOM";"2026-09-03";75;"Airbus A320neo";186;178;1560704.0;1193104.24
125;"MAA-BOM";"MAA";"BOM";"2026-04-22";178;"Airbus A320neo";186;181;1625199.0;912665.4
126;"AMD-BOM";"AMD";"BOM";"2026-01-04";101;"Airbus A320neo";186;170;1270240.0;1119536.6
127;"AMD-BOM";"AMD";"BOM";"2026-12-20";233;"Airbus A320";180;130;1252550.0;827171.79
128;"LKO-BOM";"LKO";"BOM";"2022-10-02";197;"Airbus A320neo";186;122;1409832.0;1265533.22
129;"NAG-BOM";"NAG";"BOM";"2026-11-09";106;"Boeing 787-8";256;154;1543080.0;1160870.57
130;"IXB-CCU";"IXB";"CCU";"2023-09-26";174;"Boeing 787-8";256;216;1230120.0;800726.62
131;"BLR-HYD";"BLR";"HYD";"2025-09-18";213;"ATR 72";78;74;282532.0;230858.95
132;"DEL-BLR";"DEL";"BLR";"2022-05-25";167;"ATR 72";78;43;504175.0;309703.49
133;"COK-BLR";"COK";"BLR";"2023-01-06";104;"Boeing 737-800";189;136;476272.0;381715.27
134;"NAG-BOM";"NAG";"BOM";"2022-09-16";213;"Airbus A320neo";186;123;637017.0;490051.03
135;"MAA-BOM";"MAA";"BOM";"2024-04-13";199;"Boeing 737 MAX 8";186;118;351050.0;280931.19
136;"JAI-DEL";"JAI";"DEL";"2026-07-15";205;"Boeing 737-800";189;128;1335168.0;998312.86
137;"LKO-BOM";"LKO";"BOM";"2023-03-23";138;"Boeing 787-8";256;225;585225.0;350673.6
138;"COK-BLR";"COK";"BLR";"2024-05-30";232;"Airbus A321";220;133;1185695.0;781086.01
139;"CCU-DEL";"CCU";"DEL";"2025-04-13";80;"Boeing 737 MAX 8";186;172;1570532.0;1004317.91
140;"JAI-DEL";"JAI";"DEL";"2023-12-28";209;"Boeing 787-8";256;207;1843956.0;1081531.61
141;"CCU-DEL";"CCU";"DEL";"2024-09-17";193;"Airbus A320neo";186;141;1348524.0;897519.29
142;"JAI-DEL";"JAI";"DEL";"2024-08-13";183;"Boeing 737-800";189;105;385350.0;215069.2
143;"TRV-MAA";"TRV";"MAA";"2023-06-22";230;"Airbus A320neo";186;111;1294260.0;991465.61
144;"AMD-BOM";"AMD";"BOM";"2022-06-25";75;"Boeing 787-8";256;188;664204.0;512056.35
145;"IXB-CCU";"IXB";"CCU";"2024-08-06";218;"Airbus A320neo";186;130;1517490.0;975388.9
146;"MAA-BOM";"MAA";"BOM";"2025-11-10";73;"ATR 72";78;62;582180.0;505764.68
147;"NAG-BOM";"NAG";"BOM";"2022-04-28";174;"Boeing 737-800";189;173;1794183.0;1249167.6
148;"BOM-DEL";"BOM";"DEL";"2022-05-06";112;"ATR 72";78;42;238308.0;194524.28
149;"DEL-BLR";"DEL";"BLR";"2026-08-22";208;"Boeing 737 MAX 8";186;164;1184572.0;966780.39
150;"IXB-CCU";"IXB";"CCU";"2026-11-08";158;"ATR 72";78;68;393516.0;310283.08
151;"MAA-BOM";"MAA";"BOM";"2023-05-17";180;"Boeing 787-8";256;173;471425.0;387554.92
152;"CCU-DEL";"CCU";"DEL";"2026-11-16";191;"ATR 72";78;47;336050.0;242462.51
153;"NAG-BOM";"NAG";"BOM";"2026-05-30";130;"Boeing 787-8";256;215;703050.0;453564.64
154;"JAI-DEL";"JAI";"DEL";"2023-08-31";66;"Boeing 737-800";189;185;1715505.0;1443999.18
155;"DEL-BLR";"DEL";"BLR";"2025-04-17";213;"Boeing 737-800";189;157;1447069.0;946647.39
156;"MAA-BOM";"MAA";"BOM";"2022-06-20";200;"Boeing 737-800";189;124;1105336.0;724580.59
157;"AMD-BOM";"AMD";"BOM";"2026-07-28";237;"ATR 72";78;77;600446.0;432739.46
158;"JAI-DEL";"JAI";"DEL";"2026-08-30";185;"ATR 72";78;61;248758.0;158343.1
159;"GOI-DEL";"GOI";"DEL";"2025-03-10";120;"Boeing 737-800";189;134;1562842.0;1390762.68
160;"BLR-HYD";"BLR";"HYD";"2022-02-18";219;"Boeing 737 MAX 8";186;146;1328600.0;905507.72
161;"COK-BLR";"COK";"BLR";"2025-09-27";183;"Boeing 737-800";189;146;1491390.0;1099751.63
162;"MAA-BOM";"MAA";"BOM";"2025-07-03";208;"Airbus A320";180;174;726102.0;493775.85
163;"MAA-BOM";"MAA";"BOM";"2024-05-14";165;"Airbus A320";180;139;1151059.0;957470.98
164;"TRV-MAA";"TRV";"MAA";"2026-02-17";167;"Boeing 737 MAX 8";186;169;827255.0;740075.71
165;"TRV-MAA";"TRV";"MAA";"2022-11-10";116;"Airbus A320neo";186;179;852935.0;591608.34
166;"JAI-DEL";"JAI";"DEL";"2025-03-12";213;"Boeing 737-800";189;162;648648.0;492094.22
167;"JAI-DEL";"JAI";"DEL";"2025-09-02";224;"Airbus A320";180;157;1280649.0;1112435.6
168;"BOM-DEL";"BOM";"DEL";"2022-03-21";224;"ATR 72";78;63;565929.0;378228.83
169;"COK-BLR";"COK";"BLR";"2025-03-24";161;"Boeing 737 MAX 8";186;113;1093388.0;754016.72
170;"NAG-BOM";"NAG";"BOM";"2024-10-23";60;"Boeing 737 MAX 8";186;155;1240465.0;1088783.01
171;"IXC-DEL";"IXC";"DEL";"2025-01-07";230;"Boeing 737 MAX 8";186;184;1218448.0;822486.45
172;"LKO-BOM";"LKO";"BOM";"2023-05-29";75;"ATR 72";78;43;504562.0;346110.92
173;"GOI-DEL";"GOI";"DEL";"2023-09-07";97;"Airbus A321";220;219;2461779.0;1859645.11
174;"COK-BLR";"COK";"BLR";"2024-05-31";68;"Airbus A320neo";186;119;1377663.0;956984.68
175;"NAG-BOM";"NAG";"BOM";"2023-08-24";200;"Boeing 737-800";189;138;580842.0;347667.9
176;"AMD-BOM";"AMD";"BOM";"2026-10-10";188;"Airbus A320";180;107;833423.0;500876.25
177;"GOI-DEL";"GOI";"DEL";"2022-05-28";153;"Airbus A320neo";186;112;763056.0;502641.88
178;"MAA-BOM";"MAA";"BOM";"2022-10-17";69;"ATR 72";78;67;558043.0;499527.21
179;"DEL-BLR";"DEL";"BLR";"2025-03-18";97;"Boeing 737-800";189;185;1389905.0;1226011.69
180;"BLR-HYD";"BLR";"HYD";"2025-10-23";161;"Airbus A320";180;147;938595.0;690287.19
181;"NAG-BOM";"NAG";"BOM";"2025-07-17";146;"Boeing 787-8";256;193;1360843.0;926833.58
182;"GOI-DEL";"GOI";"DEL";"2022-01-04";114;"Boeing 787-8";256;252;1861272.0;1389129.15
183;"DEL-BLR";"DEL";"BLR";"2025-07-03";136;"Airbus A321";220;157;1792626.0;1483264.25
